Organization Name,Description,Organization Name URL,Mega theme,Focus Area,Headquarters Location,Estimated Revenue Range,Founded Year,Industries,Number of Employees,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Top 5 Investors,IPqwery - Patents Granted,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity
HighRadius,HighRadius is a SaaS company that develops an artificial intelligence-based order-to-cash and treasury management software.,https://www.crunchbase.com/organization/highradius,#REF!,,"Houston, Texas, United States",$100M to $500M,2006,"Accounting, Artificial Intelligence, FinTech, SaaS, Software",1001-5000,Late Stage Venture,30/03/2021,300000000,Series C,475000000,"ICONIQ Capital, Tiger Global Management, Citi Ventures, Susquehanna Growth Equity, ICONIQ Growth",0,1,1,1,1,Mature
Atom Finance,Atom is the modern financial knowledge platform. Our mission is to democratize access to high-quality investment research resources.,https://www.crunchbase.com/organization/atom-finance,#REF!,,"New York, New York, United States",Less than $1M,2018,"Education, Financial Services, FinTech",,Early Stage Venture,23/06/2021,28000000,Series B,46600000,"SoftBank, General Catalyst, Greenoaks Capital, Mail.Ru Group, Global Founders Capital",0,0.5,1,0,0.65,Mature
Bakkt,"Bakkt is a financial services company that focuses on digital currency that specializes in concurrency, rewards, and loyalty points.",https://www.crunchbase.com/organization/bakkt,#REF!,,"Atlanta, Georgia, United States",,2018,"Cryptocurrency, Financial Services, FinTech, Loyalty Programs",101-250,Early Stage Venture,16/03/2020,300000000,Series B,482500000,"Galaxy Digital, Pantera Capital, Horizons Ventures, Alan Howard, The Boston Consulting Group",0,0.5,1,1,0.85,Mature
Jumio,Jumio is an AI platform that enables users to establish their identity remotely to protect against fraud and other financial crime.,https://www.crunchbase.com/organization/jumio,#REF!,,"Palo Alto, California, United States",$50M to $100M,2016,"Artificial Intelligence, Biometrics, Facial Recognition, Fraud Detection, Identity Management, Machine Learning",1001-5000,M&A,23/03/2021,150000000,Private Equity,205413881,"Andreessen Horowitz, Citi Ventures, Great Hill Partners, Millennium Technology Value Partners, SharesPost Investment Management",25,0.5,0.66,1,0.68,Mature
Jasper,"Jasper, formerly CreditStacks, is a financial service company that offers a premium Mastercard® designed for professionals.",https://www.crunchbase.com/organization/credit-stacks,#REF!,,"San Francisco, California, United States",Less than $1M,2015,"Banking, Credit Cards, Financial Services, FinTech, Risk Management",,Early Stage Venture,12/07/2021,100000000,Debt Financing,248000000,"OurCrowd, 500 Startups, Plug and Play Tech Center, VU Venture Partners, Venture University",,0.5,0.66,0,0.48,Emerging
Avant,Avant is an online lending platform that offers alternatives to its clients with safe financial products.,https://www.crunchbase.com/organization/avant-credit,#REF!,,"Chicago, Illinois, United States",$100M to $500M,2012,"Consumer Lending, Finance, Financial Services, FinTech, Lending, Marketplace",501-1000,,21/04/2021,3900814,Venture - Series Unknown,1582900814,"General Atlantic, QED Investors, Tiger Global Management, RRE Ventures, Founders Fund",0,0.5,0.66,1,0.68,Mature
Wave,"Wave offers tailored financial services (payments, payroll) and award-winning free software for small/micro-businesses around the world.",https://www.crunchbase.com/organization/wave-financial,#REF!,,"Toronto, Ontario, Canada",$10M to $50M,2009,"Accounting, Apps, Cloud Computing, Financial Services, FinTech, Human Resources, Mobile, Payments, Small and Medium Businesses, Software",101-250,M&A,30/05/2017,24000000,Series D,79751426,"OurCrowd, CRV, Initialized Capital, OMERS Ventures, Social Capital",0,1,1,1,1,Mature
Kabbage,Kabbage is a fintech company that offers cash flow management solutions to small businesses.,https://www.crunchbase.com/organization/kabbage,#REF!,,"Atlanta, Georgia, United States",$100M to $500M,2008,"Consumer Lending, Financial Services, FinTech, Lending, Micro Lending",501-1000,M&A,02/07/2019,200000000,Debt Financing,2450363500,"SoftBank, SV Angel, SoftBank Vision Fund, Credit Suisse, Santander Bank",12,1,0.66,1,0.83,Mature
Mercury,Mercury provides banking services and bank accounts designed specifically for startups.,https://www.crunchbase.com/organization/mercury-technologies,#REF!,,"San Francisco, California, United States",,2017,"Banking, Financial Services, FinTech, Information Technology, InsurTech",101-250,Early Stage Venture,03/07/2021,100000000,Series B,132214480,"Andreessen Horowitz, 500 Startups, CRV, Coatue, Rahul Vohra",0,0.5,1,1,0.85,Mature
C6 Bank,C6 Bank is a full-service digital bank that offers a range of banking services to individuals as well as small and midsize businesses.,https://www.crunchbase.com/organization/c6-bank,#REF!,,"São Paulo, Sao Paulo, Brazil",,2018,"Banking, Credit Cards, Financial Services, FinTech",1001-5000,,28/06/2021,2021000000,Corporate Round,2290147150,JPMorgan Chase & Co.,,0.5,0.66,1,0.68,Mature
Zopa,"Zopa offers peer-to-peer loans with low rates, flexible terms, and no early repayment fees.",https://www.crunchbase.com/organization/zopa,#REF!,,"London, England, United Kingdom",$10M to $50M,2004,"Finance, Financial Services, FinTech, Lending, Peer to Peer",251-500,,22/03/2021,27718606,Venture - Series Unknown,492260909,"Benchmark, Balderton Capital, Bessemer Venture Partners, Northzone, JP Morgan Chase",0,1,0.66,1,0.83,Mature
LIQID,LIQID is a digital asset manager focused on the investment needs of affluent private clients.,https://www.crunchbase.com/organization/liqid-investments,#REF!,,"Berlin, Berlin, Germany",,2016,"Financial Services, FinTech, Wealth Management",51-100,Late Stage Venture,15/07/2021,104134987,Series D,153334922,"Project A Ventures, DvH Ventures, LGT group, Toscafund Asset Management, Berliner Volksbank Ventures",0,0.5,1,1,0.85,Mature
Figure,Figure is a financial services company leveraging blockchain technology.,https://www.crunchbase.com/organization/figure-66e9,#REF!,,"San Francisco, California, United States",$10M to $50M,2018,"Blockchain, Finance, Financial Services, FinTech",251-500,Late Stage Venture,28/05/2021,,Series D,1551588888,"Digital Currency Group, Ribbit Capital, HOF Capital, JP Morgan, DST Global",0,0.5,1,1,0.85,Mature
Astra,Astra is a rocket launch startup that provides satellite delivery and launch services.,https://www.crunchbase.com/organization/astra-b6dc,#REF!,,"Alameda, California, United States",,2016,"Aerospace, Space Travel, Travel",101-250,,27/02/2020,,Venture - Series Unknown,100000000,"Canaan Partners, Marc Benioff, Innovation Endeavors, Artis Ventures (AV), LionTree",,0.5,0.66,1,0.68,Mature
Wealthfront,Wealthfront is a next-gen banking service that helps in managing the money for both the short term and long term.,https://www.crunchbase.com/organization/wealthfront,#REF!,,"Palo Alto, California, United States",$10M to $50M,2008,"Finance, Financial Services, FinTech, Personal Finance, Stock Exchanges, Wealth Management",101-250,Late Stage Venture,04/01/2018,75000000,Series E,204500000,"Science, Index Ventures, Spark Capital, Ribbit Capital, Benchmark",0,1,1,1,1,Mature
Checkr,Checkr seeks to automate the process of professional background checks.,https://www.crunchbase.com/organization/checkr,#REF!,,"San Francisco, California, United States",$100M to $500M,2014,"Developer APIs, Enterprise Software, Human Resources, Information Services, Internet, Legal, Legal Tech, Software",251-500,Late Stage Venture,16/09/2019,160000000,Series D,309000000,"Khosla Ventures, T. Rowe Price, SV Angel, Y Combinator, GV",1,0.5,1,1,0.85,Mature
Raisin,Raisin is a savings and investment marketplace that connects retail customers with banks looking to expand deposit reach.,https://www.crunchbase.com/organization/raisin-weltsparen,#REF!,,"Berlin, Berlin, Germany",$10M to $50M,2012,"Banking, Finance, Financial Services, FinTech, Marketplace",251-500,M&A,16/07/2019,28000000,Venture - Series Unknown,206007635,"Goldman Sachs, Index Ventures, FJ Labs, Ribbit Capital, Thrive Capital",0,0.5,0.66,1,0.68,Mature
Shift Technology,Shift Technology is a provider of AI-driven decision automation and optimization technology for the global insurance industry.,https://www.crunchbase.com/organization/shift-technology,#REF!,,"Paris, Ile-de-France, France",,2013,"Artificial Intelligence, Information Technology, Insurance, InsurTech",251-500,Late Stage Venture,06/05/2021,220000000,Series D,319987263,"General Catalyst, Accel, Advent International, Bessemer Venture Partners, Elaia",0,0.5,1,1,0.85,Mature
Immuta,"Immuta provides a cloud-native data governance platform for organizations to automate data access control, security and privacy compliance.",https://www.crunchbase.com/organization/immuta,#REF!,,"Boston, Massachusetts, United States",,2015,"Analytics, Big Data, Cyber Security, Software",51-100,Late Stage Venture,20/05/2021,90000000,Series D,158200000,"Intel Capital, Citi Ventures, Dell Technologies Capital, Greenspring Associates, March Capital",1,0.5,1,1,0.85,Mature
Featurespace,Featurespace provides an adaptive behavioral analytics technology and automated deep behavioral networks for risk management.,https://www.crunchbase.com/organization/featurespace,#REF!,,"Cambridge, Cambridgeshire, United Kingdom",$10M to $50M,2008,"Analytics, Artificial Intelligence, Banking, Fraud Detection, Intelligent Systems, Machine Learning, Payments, Risk Management, Software",251-500,,13/05/2020,36713864,Venture - Series Unknown,107927753,"IP Group Plc, Insight Partners, Chrysalis Investments, TTV Capital, Highland Europe",0,1,0.66,1,0.83,Mature
Feedzai,Feedzai develops risk management tools to prevent fraud and money laundering in transactions.,https://www.crunchbase.com/organization/feedzai,#REF!,,"San Mateo, California, United States",$10M to $50M,2009,"Analytics, Artificial Intelligence, Fraud Detection, Information Technology",251-500,Late Stage Venture,24/03/2021,200000000,Series D,277465392,"Citi Ventures, Sapphire Ventures, DCVC, Oak HC/FT, Kohlberg Kravis Roberts",,1,1,1,1,Mature
Satispay,Satispay is a fintech company that provides a bank account enabled mobile payment platform.,https://www.crunchbase.com/organization/satispay,#REF!,,"Milan, Lombardia, Italy",$1M to $10M,2013,"Apps, Banking, Finance, Financial Services, FinTech, Mobile Payments, Payments",101-250,Late Stage Venture,20/11/2020,110268224,Series C,160856510,"Tencent, Square, Endeavor Catalyst, Lightrock, Greyhound Capital",0,0.5,1,1,0.85,Mature
Prosper Marketplace,Prosper Marketplace is an online lending platform that connects people who want to borrow money with individuals and institutions.,https://www.crunchbase.com/organization/prosper,#REF!,,"San Francisco, California, United States",$50M to $100M,2005,"Crowdfunding, Finance, Financial Services, FinTech, Lending, Marketplace, Personal Finance",251-500,,01/01/2018,,Venture - Series Unknown,415455497,"BlackRock, Francisco Partners, Benchmark, Sequoia Capital, QED Investors",2,1,0.66,1,0.83,Mature
Mission Lane,Mission Lane is a consumer finance company dedicated to helping everyone have access to fair and clear credit.,https://www.crunchbase.com/organization/mission-lane,#REF!,,"San Francisco, California, United States",$1M to $10M,2018,"Credit, Finance, Financial Services",101-250,Early Stage Venture,17/09/2019,200000000,Series A,500000000,"Goldman Sachs, QED Investors, Invus, Oaktree Capital Management, LL Funds",0,0.5,0.33,1,0.515,Emerging
Petal,"Petal is a financial technology company on a mission to make credit honest, simple, and accessible.",https://www.crunchbase.com/organization/petal,#REF!,,"New York, New York, United States",$1M to $10M,2016,"Credit Cards, Financial Services, FinTech, Machine Learning",101-250,Late Stage Venture,24/02/2021,126600000,Debt Financing,563400000,"Starta VC, Valar Ventures, RiverPark Ventures, Silicon Valley Bank, Abstract Ventures",0,0.5,0.66,1,0.68,Mature
ComplyAdvantage,ComplyAdvantage provides AI-driven financial crime risk data and detection technology.,https://www.crunchbase.com/organization/comply-advantage,#REF!,,"London, England, United Kingdom",$1M to $10M,2014,"Artificial Intelligence, Compliance, FinTech, Fraud Detection",251-500,Late Stage Venture,20/05/2021,20000000,Series C,108200000,"Index Ventures, Goldman Sachs Asset Management, Balderton Capital, Ontario Teachers' Pension Plan, Ross Mason",,0.5,1,1,0.85,Mature
Neon,"Neon is a digital bank that offers credit cards, personal loans, and investment products, among other services.",https://www.crunchbase.com/organization/banco-neon,#REF!,,"São Paulo, Sao Paulo, Brazil",,2016,"Banking, Credit, Financial Services, FinTech",501-1000,Late Stage Venture,02/09/2020,300000000,Series C,420333922,"General Atlantic, Flourish Ventures, Endeavor Catalyst, monashees, PayPal Ventures",,0.5,1,1,0.85,Mature
MX Technologies,MX Technologies is a fintech company that aims to connect people with their financial data in a way that automates their money experience.,https://www.crunchbase.com/organization/moneydesktop,#REF!,,"Lehi, Utah, United States",$10M to $50M,2010,"Banking, Finance, Financial Services, FinTech",501-1000,Late Stage Venture,13/01/2021,300000000,Series C,450000000,"Battery Ventures, H.I.G. Capital, TPG, Point72 Ventures, Pelion Venture Partners",82,1,1,1,1,Mature
Veriff,Veriff is an online identity verification company that protects businesses and their customers from online identity fraud.,https://www.crunchbase.com/organization/veriff,#REF!,,"Tallinn, Harjumaa, Estonia",$1M to $10M,2015,"Cyber Security, Fraud Detection, Identity Management, Information Technology",251-500,Early Stage Venture,12/04/2021,69000000,Series B,92320000,"SV Angel, Y Combinator, Taavet Hinrikus, Accel, IVP (Institutional Venture Partners)",0,0.5,1,1,0.85,Mature
Ellevest,Ellevest provides an engaging investing experience to help women meet their financial goals in life.,https://www.crunchbase.com/organization/ellevest,#REF!,,"New York, New York, United States",$1M to $10M,2014,"Financial Services, FinTech, Impact Investing, Women's",51-100,Early Stage Venture,12/11/2020,12311327,Series A,91411327,"Alumni Ventures Group, Khosla Ventures, Salesforce Ventures, Mastercard, PayPal Ventures",0,0.5,0.33,1,0.515,Emerging
